no.,listed as,book,author,edition,year
78,Mr. Hayward,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
79,Mr. Harris,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
80,Mr. Hern,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
81,Mr. Howell,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
82,Mrs. Hart,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
83,Dr. Houston,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
84,Mr. Jerard,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
85,Mr. Jerningham,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
86,Mr. Jones,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
87,Mr. Jefferys,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
88,Mr. Jacobs,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
89,Mr. King,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
90,Mr. Knill,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
91,Mrs. Kenlock,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
92,Mr. Land,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
93,Mr. Longland,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
94,Mr. Lesslie,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
95,Mr. Landreff,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
96,Mr. Lambart,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
97,Mr. Linsay,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
98,Mr. Morgin,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
99,Mr. Morgin,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
100,Mr. Martini,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
101,Mr. Morgin,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
102,Mr. Mandivill,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
103,Mr. Myers,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
104,Mr. Martin,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
105,Mr. Morris,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
106,Mr. Mobbs,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
107,Mr. Mosly,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
108,Mr. Maish,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
109,Mr. Mare,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
110,Mr. Martlock,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
111,Mr. Moor,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
112,Mr. Maddleton,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
113,Mr. Miller,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
114,Mr. Nolekins,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
115,Mr. Northcot,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
116,Mr. Norman,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
117,Mr. Paine,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
118,Mr. Philpot,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
119,Mr. Partriacks,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
120,Mr. Pinkes,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
121,Mr. Pierce,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
122,Mr. Potter,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
123,Mr. Pitt,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
124,Mrs. Proudlove,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
125,Mr. Phillips,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
126,Mr. Parkinson,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
127,Mr. Petters,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
128,Mr. Papera,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
129,Sir Joshua Reynolds,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
130,Mr. Robinson,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
131,Mr. Ross,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
132,Mr. Roberts,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
133,Mr. Robsinson,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
134,Mr. Roe,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
135,Mr. Robertson,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
136,Messrs. Stedman and Co.,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
137,Mr. Salter,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
138,Mr. Sastrass,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
139,Mr. Samel,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
140,Mr. Sartini,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
141,Mr. Stephenson,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
142,Mr. Sparkes,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
143,Mr. Shan,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
144,Mr. Sutherland,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
145,Mrs. Smith,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
