no.,listed as,book,author,edition,year
71,"Richard R. Lawrence, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
72,"William Martin, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
73,"James Main, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
74,"John Murray, jun. do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
75,"John Miller, Water-Street, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
76,"Robert Mott, 2 copies",Interesting Narrative,"Equiano, Olaudah",Am,1791
77,"William Manning, jun N. J.",Interesting Narrative,"Equiano, Olaudah",Am,1791
78,John Meriam,Interesting Narrative,"Equiano, Olaudah",Am,1791
79,"Thomas Mason, Philadelphia",Interesting Narrative,"Equiano, Olaudah",Am,1791
80,"Hugh Montgomery, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
81,"Alexender M Rea, Middletown",Interesting Narrative,"Equiano, Olaudah",Am,1791
82,"Asahel M Rea, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
83,"Nathaniel Pearsall, No. 36, Queen Street, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
84,"Peter Palmer, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
85,"Benjamin Pomroy, Middletown, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
86,"Doctor Jared Potter, Wallingford, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
87,"Ezekel Robins, Queen Street, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
88,"Thomas Ross, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
89,"John Read, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
90,"Isacc Riley, Middletown, Connecticut, 60 copies",Interesting Narrative,"Equiano, Olaudah",Am,1791
91,"John I Richey, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
92,"John Remmy, jun. do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
93,"Rev. William Rogers D. D. Professor of English and Oratory, in the College of Philadephia",Interesting Narrative,"Equiano, Olaudah",Am,1791
94,Noah Reest,Interesting Narrative,"Equiano, Olaudah",Am,1791
95,"Jesse Riley, Weathersfield, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
96,"Matthew I. Russel, Esq. Middletown",Interesting Narrative,"Equiano, Olaudah",Am,1791
97,"Roger Riley, Esq. Berlin Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
98,"Theophilus M. Robinson, Wallingford, Connect.",Interesting Narrative,"Equiano, Olaudah",Am,1791
99,Daniel Stansbury N. Y.,Interesting Narrative,"Equiano, Olaudah",Am,1791
100,"Solomon Smith, N J. Sussex C. Minisink, 6 copies",Interesting Narrative,"Equiano, Olaudah",Am,1791
101,"Issac Spinning, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
102,"Aaron Sharpless, N. Y. 12 copies",Interesting Narrative,"Equiano, Olaudah",Am,1791
103,"Peter Slote, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
104,"Abraham H. Schenck, do.",Interesting Narrative,"Equiano, Olaudah",Am,1791
105,"Nathaniel Smith, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
106,"Melancton Smith, Esq. do",Interesting Narrative,"Equiano, Olaudah",Am,1791
107,"Allyn Southmayd, Middletown, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
108,"Peter A. Schenk, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
109,Peter T. Schenck Long-Island,Interesting Narrative,"Equiano, Olaudah",Am,1791
110,"Joshua Stors, Middletown",Interesting Narrative,"Equiano, Olaudah",Am,1791
111,"Lemuel Stoors, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
112,"Jehoshuphat Starr, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
113,"Cornelius Tiebout, copper-plate engraver, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
114,"Alexander Tieboyt, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
115,"Walter Townsend, North Castle",Interesting Narrative,"Equiano, Olaudah",Am,1791
116,"Andrew Thompson, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
117,"Jacob Fee, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
118,"Doctor Ebenezer Tray, Middletown, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
119,"Andrew Underbill, N. Y.",Interesting Narrative,"Equiano, Olaudah",Am,1791
120,"T. P. Wills, N. Jersey",Interesting Narrative,"Equiano, Olaudah",Am,1791
121,William V Wagenen N Y.,Interesting Narrative,"Equiano, Olaudah",Am,1791
122,"Joseph Webb Weathersfield, Connecticut",Interesting Narrative,"Equiano, Olaudah",Am,1791
123,"Seth Wetmore, Middletown, do",Interesting Narrative,"Equiano, Olaudah",Am,1791
