no.,listed as,book,author,edition,year
410,Mr. Green,Letters,"Sancho, Ignatius",1,1782
411,Mr. Gigot,Letters,"Sancho, Ignatius",1,1782
412,Mr. Charles Godby,Letters,"Sancho, Ignatius",1,1782
413,Mrs. Green,Letters,"Sancho, Ignatius",1,1782
414,Mr. Graham,Letters,"Sancho, Ignatius",1,1782
415,Mr. Gardener,Letters,"Sancho, Ignatius",1,1782
416,Mr. Arthur Glidon,Letters,"Sancho, Ignatius",1,1782
417,Mr. Grint,Letters,"Sancho, Ignatius",1,1782
418,Mr. Gooch,Letters,"Sancho, Ignatius",1,1782
419,"Mr. Joseph Gill, jun.",Letters,"Sancho, Ignatius",1,1782
420,Mr. Garden,Letters,"Sancho, Ignatius",1,1782
421,Capt. Green,Letters,"Sancho, Ignatius",1,1782
422,Mr. Guoyn,Letters,"Sancho, Ignatius",1,1782
423,Mr. Gains,Letters,"Sancho, Ignatius",1,1782
424, Mr. Goodhen,Letters,"Sancho, Ignatius",1,1782
425,Mr. William Graves,Letters,"Sancho, Ignatius",1,1782
426,Mr. George Gainer,Letters,"Sancho, Ignatius",1,1782
427,Mrs. Anne Gainer,Letters,"Sancho, Ignatius",1,1782
428,Miss Graham,Letters,"Sancho, Ignatius",1,1782
429,Mr. Goodison,Letters,"Sancho, Ignatius",1,1782
430,Mr. Gardener,Letters,"Sancho, Ignatius",1,1782
431,"Rev. J. Green, M.A.",Letters,"Sancho, Ignatius",1,1782
432,Mr. Gallant,Letters,"Sancho, Ignatius",1,1782
433,Mr. John Gamble,Letters,"Sancho, Ignatius",1,1782
434,Mr. Gote,Letters,"Sancho, Ignatius",1,1782
435,Mr. Guy,Letters,"Sancho, Ignatius",1,1782
436,Mr. Charles Green,Letters,"Sancho, Ignatius",1,1782
437,Lord Harrowby,Letters,"Sancho, Ignatius",1,1782
438,Lord Herbert,Letters,"Sancho, Ignatius",1,1782
439,Lady Harland,Letters,"Sancho, Ignatius",1,1782
440,Honourable Mrs. Howe,Letters,"Sancho, Ignatius",1,1782
441,Honourable Mrs. Hanbury,Letters,"Sancho, Ignatius",1,1782
442,Miss Hanbury,Letters,"Sancho, Ignatius",1,1782
443,Miss F. Hanbury,Letters,"Sancho, Ignatius",1,1782
444,"Robert Harrison, Esq.",Letters,"Sancho, Ignatius",1,1782
445," Heathcote, Esq.",Letters,"Sancho, Ignatius",1,1782
446,Mrs. Heathcote,Letters,"Sancho, Ignatius",1,1782
447,"J. Hughson, Esq.",Letters,"Sancho, Ignatius",1,1782
448,"Horatio Hammond, Esq.",Letters,"Sancho, Ignatius",1,1782
449,Mrs. Hammond,Letters,"Sancho, Ignatius",1,1782
450,"Francis Hare, Esq.",Letters,"Sancho, Ignatius",1,1782
451,"Thomas Halsted, Esq.",Letters,"Sancho, Ignatius",1,1782
452,"John Heigham, Esq.",Letters,"Sancho, Ignatius",1,1782
453,"Thomas Huckings, Esq.",Letters,"Sancho, Ignatius",1,1782
454,"George Hodgson, Esq.",Letters,"Sancho, Ignatius",1,1782
455,"John Hodgson, Esq.",Letters,"Sancho, Ignatius",1,1782
456,Mrs. Hodgson,Letters,"Sancho, Ignatius",1,1782
457,Mr. William Hodgson,Letters,"Sancho, Ignatius",1,1782
458,Robert Halhed Esq.,Letters,"Sancho, Ignatius",1,1782
459,"John Halhed, Esq.",Letters,"Sancho, Ignatius",1,1782
460,"John Hayes, Esq.",Letters,"Sancho, Ignatius",1,1782
461,"Henry Hoare, Esq.",Letters,"Sancho, Ignatius",1,1782
462,Mrs. Henry Hoare,Letters,"Sancho, Ignatius",1,1782
463,"William Holland, M.D.",Letters,"Sancho, Ignatius",1,1782
464,Miss Harmer,Letters,"Sancho, Ignatius",1,1782
465,Mrs. Horneck,Letters,"Sancho, Ignatius",1,1782
466,"John Hood, Esq.",Letters,"Sancho, Ignatius",1,1782
467,"Rowland Hunt, Esq.",Letters,"Sancho, Ignatius",1,1782
468,"J. Henneker, Esq.",Letters,"Sancho, Ignatius",1,1782
469,William Hall Esq. ,Letters,"Sancho, Ignatius",1,1782
470,Rev. Joseph Hall,Letters,"Sancho, Ignatius",1,1782
471,"Thomas Hunt, Esq.",Letters,"Sancho, Ignatius",1,1782
472,"Nathaniel Highmore, Esq.",Letters,"Sancho, Ignatius",1,1782
473,Mr. John Highmore,Letters,"Sancho, Ignatius",1,1782
474,"Mr. Anthony Highmore, jun.",Letters,"Sancho, Ignatius",1,1782
475,Mr. Hoare,Letters,"Sancho, Ignatius",1,1782
476,Mr. R. Harper,Letters,"Sancho, Ignatius",1,1782
477,Mr. John Hance,Letters,"Sancho, Ignatius",1,1782
478,Mr. Isaac Harrison,Letters,"Sancho, Ignatius",1,1782
479,Rev. Mr. Hewitt,Letters,"Sancho, Ignatius",1,1782
480,Mr. Gardiner Harward,Letters,"Sancho, Ignatius",1,1782
481,Mr. Heathcock,Letters,"Sancho, Ignatius",1,1782
482,Mrs. Hakewell,Letters,"Sancho, Ignatius",1,1782
483,Mrs. Harene,Letters,"Sancho, Ignatius",1,1782
484,Mr. J. Harrison,Letters,"Sancho, Ignatius",1,1782
485,Mr. Howis,Letters,"Sancho, Ignatius",1,1782
486,Mr. G. Hubbard,Letters,"Sancho, Ignatius",1,1782
487,Mr. William Hayward,Letters,"Sancho, Ignatius",1,1782
488,Mr. John Hughes,Letters,"Sancho, Ignatius",1,1782
489,Miss Halsey,Letters,"Sancho, Ignatius",1,1782
490,Miss Hare,Letters,"Sancho, Ignatius",1,1782
491,Miss Heath,Letters,"Sancho, Ignatius",1,1782
492,Mrs. Harrison,Letters,"Sancho, Ignatius",1,1782
493,Mr. John Hodges,Letters,"Sancho, Ignatius",1,1782
494,Mr. C- H- ,Letters,"Sancho, Ignatius",1,1782
495,Mrs. Hart,Letters,"Sancho, Ignatius",1,1782
496,Mr. J. H.,Letters,"Sancho, Ignatius",1,1782
497,Mr. J. Hull,Letters,"Sancho, Ignatius",1,1782
498,Mrs. Hempstead,Letters,"Sancho, Ignatius",1,1782
499,Mrs. Humphries,Letters,"Sancho, Ignatius",1,1782
500,Mrs. Hesketh,Letters,"Sancho, Ignatius",1,1782
501,Mr. Holme,Letters,"Sancho, Ignatius",1,1782
502,Mr. J. Holme,Letters,"Sancho, Ignatius",1,1782
503,Rev. Mr. Hornby,Letters,"Sancho, Ignatius",1,1782
504,Mrs. Hassel,Letters,"Sancho, Ignatius",1,1782
505,Mrs. Hutchins,Letters,"Sancho, Ignatius",1,1782
506,Mr. Hugh Hughes,Letters,"Sancho, Ignatius",1,1782
507,Mr. Haynes,Letters,"Sancho, Ignatius",1,1782
508,Mr. Harper,Letters,"Sancho, Ignatius",1,1782
509,Mr. H. Hounson,Letters,"Sancho, Ignatius",1,1782
510,Mrs. Harmer,Letters,"Sancho, Ignatius",1,1782
511,Miss Hamby,Letters,"Sancho, Ignatius",1,1782
512,Rev. Mr. Hankey,Letters,"Sancho, Ignatius",1,1782
513,Capt. T.C. Hardy,Letters,"Sancho, Ignatius",1,1782
514,Mr. John Hurle,Letters,"Sancho, Ignatius",1,1782
515,Mr. Hayward,Letters,"Sancho, Ignatius",1,1782
516,Mr. James Hodson,Letters,"Sancho, Ignatius",1,1782
517,"Rev. J. Heslop, M. A.",Letters,"Sancho, Ignatius",1,1782
518,Mr. Thomas Hollingsworth,Letters,"Sancho, Ignatius",1,1782
519,Mrs. S. Hollingsworth,Letters,"Sancho, Ignatius",1,1782
520,Mr. Henry Harrison,Letters,"Sancho, Ignatius",1,1782
521,Mr. John Harrison,Letters,"Sancho, Ignatius",1,1782
522,Countess of Jersey,Letters,"Sancho, Ignatius",1,1782
523,Viscountess Irwin,Letters,"Sancho, Ignatius",1,1782
524,Honourable Mr. St. John,Letters,"Sancho, Ignatius",1,1782
525,Capt. Jones,Letters,"Sancho, Ignatius",1,1782
526,Rev. Thomas Johnson,Letters,"Sancho, Ignatius",1,1782
527,Mr. William Johnson,Letters,"Sancho, Ignatius",1,1782
528,Mrs. Jervais,Letters,"Sancho, Ignatius",1,1782
529,Rev. William Jackson,Letters,"Sancho, Ignatius",1,1782
530,Mr. William Jackson,Letters,"Sancho, Ignatius",1,1782
531,Mr. Jackson,Letters,"Sancho, Ignatius",1,1782
532,Mr. Jackson,Letters,"Sancho, Ignatius",1,1782
533,Mr. Johnson,Letters,"Sancho, Ignatius",1,1782
534,Mr. James,Letters,"Sancho, Ignatius",1,1782
535,Rev. Mr. Jevans,Letters,"Sancho, Ignatius",1,1782
536,Mrs. M. Jenney,Letters,"Sancho, Ignatius",1,1782
537,Mr. John Jenner,Letters,"Sancho, Ignatius",1,1782
538,Mr. Ind,Letters,"Sancho, Ignatius",1,1782
539,Mr. Robert Ind,Letters,"Sancho, Ignatius",1,1782
540,Mr. Alexander M Intosh,Letters,"Sancho, Ignatius",1,1782
541,Mr. Joblin,Letters,"Sancho, Ignatius",1,1782
542,"Rev. T. Johnson, M. A.",Letters,"Sancho, Ignatius",1,1782
543,Mr. Johnson,Letters,"Sancho, Ignatius",1,1782
544,Mrs. Johnson,Letters,"Sancho, Ignatius",1,1782
545,Miss Johnson,Letters,"Sancho, Ignatius",1,1782
546,Miss Maria Johnson,Letters,"Sancho, Ignatius",1,1782
547,Mr. James Johnson,Letters,"Sancho, Ignatius",1,1782
548,Mrs. Johnson,Letters,"Sancho, Ignatius",1,1782
549,Mr. William Jones,Letters,"Sancho, Ignatius",1,1782
550,Mr. Jones,Letters,"Sancho, Ignatius",1,1782
551,Miss Anne Jonson,Letters,"Sancho, Ignatius",1,1782
552,Mrs. Johnston,Letters,"Sancho, Ignatius",1,1782
553,Mr. Joyce,Letters,"Sancho, Ignatius",1,1782
554,Mrs. Joyce,Letters,"Sancho, Ignatius",1,1782
555,"Samuel Ireland, Esq.",Letters,"Sancho, Ignatius",1,1782
556,Mrs. Ireland,Letters,"Sancho, Ignatius",1,1782
557,Mr. Irons,Letters,"Sancho, Ignatius",1,1782
558,Mrs. Irons,Letters,"Sancho, Ignatius",1,1782
559,"Charles Kent, Esq.",Letters,"Sancho, Ignatius",1,1782
560,"Dennis O. Kelly, Esq.",Letters,"Sancho, Ignatius",1,1782
561,"Ralph Knox, Esq.",Letters,"Sancho, Ignatius",1,1782
562,"Thomas Kerrich, Esq.",Letters,"Sancho, Ignatius",1,1782
563,"John Kerrich, Esq.",Letters,"Sancho, Ignatius",1,1782
564,Mr. John Kerrich,Letters,"Sancho, Ignatius",1,1782
565,Mrs. Kerrich,Letters,"Sancho, Ignatius",1,1782
566,"Benjamin Kidney, Esq.",Letters,"Sancho, Ignatius",1,1782
567,Mrs. Kidney,Letters,"Sancho, Ignatius",1,1782
568,Miss C. Kidney,Letters,"Sancho, Ignatius",1,1782
569,Miss E. Kidney,Letters,"Sancho, Ignatius",1,1782
570,Mr. Kisbee,Letters,"Sancho, Ignatius",1,1782
571,Mrs. Kennett,Letters,"Sancho, Ignatius",1,1782
572,Mr. Kay,Letters,"Sancho, Ignatius",1,1782
573,Mr. Kendall,Letters,"Sancho, Ignatius",1,1782
574,Mr. William King,Letters,"Sancho, Ignatius",1,1782
575,Mr. Robert King,Letters,"Sancho, Ignatius",1,1782
576,Mr. Keightly,Letters,"Sancho, Ignatius",1,1782
577,Mr. Kandler,Letters,"Sancho, Ignatius",1,1782
578,Mr. John Knight,Letters,"Sancho, Ignatius",1,1782
579,Miss King,Letters,"Sancho, Ignatius",1,1782
580,Mr. Kemmell,Letters,"Sancho, Ignatius",1,1782
581,Mr. Thomas King,Letters,"Sancho, Ignatius",1,1782
582,Mr. Richard King,Letters,"Sancho, Ignatius",1,1782
583,Rev. Charles Kingestone,Letters,"Sancho, Ignatius",1,1782
584,Mrs. Kerr,Letters,"Sancho, Ignatius",1,1782
585,His Grace the Duke of Leeds,Letters,"Sancho, Ignatius",1,1782
586,His Grace the Duke of Leinster,Letters,"Sancho, Ignatius",1,1782
587,Lord Le Despencer,Letters,"Sancho, Ignatius",1,1782
588,Dowager Lady Lincoln,Letters,"Sancho, Ignatius",1,1782
589,Lord Lucan,Letters,"Sancho, Ignatius",1,1782
590,Mr. Charles Lennox,Letters,"Sancho, Ignatius",1,1782
591,Miss Lowther,Letters,"Sancho, Ignatius",1,1782
592,"John M. Leake, Esq.",Letters,"Sancho, Ignatius",1,1782
593,Rev. Mr. Lord,Letters,"Sancho, Ignatius",1,1782
594,"John Leathes, Esq.",Letters,"Sancho, Ignatius",1,1782
595,"William Lascelles, Esq.",Letters,"Sancho, Ignatius",1,1782
596,Rev. Mr. Lincolne,Letters,"Sancho, Ignatius",1,1782
597,"---- Luton, Esq.",Letters,"Sancho, Ignatius",1,1782
598,Mr. Long,Letters,"Sancho, Ignatius",1,1782
599,Mr. Lambert,Letters,"Sancho, Ignatius",1,1782
600,Mrs. Lejoie,Letters,"Sancho, Ignatius",1,1782
601,Miss Land,Letters,"Sancho, Ignatius",1,1782
602,Miss Leach,Letters,"Sancho, Ignatius",1,1782
603,Miss L. Leach,Letters,"Sancho, Ignatius",1,1782
604,Mrs. Loyd,Letters,"Sancho, Ignatius",1,1782
605,Mr. Lyons,Letters,"Sancho, Ignatius",1,1782
606,Mrs. E. Long,Letters,"Sancho, Ignatius",1,1782
607,Mr. Lane,Letters,"Sancho, Ignatius",1,1782
608,Mr. D. Lambelle,Letters,"Sancho, Ignatius",1,1782
609,Mr. Leivers,Letters,"Sancho, Ignatius",1,1782
610,Mr. Lewis,Letters,"Sancho, Ignatius",1,1782
611,Mr. John Lettery,Letters,"Sancho, Ignatius",1,1782
612,Mr. Alexander Lockhart,Letters,"Sancho, Ignatius",1,1782
613,Mr. John Lock,Letters,"Sancho, Ignatius",1,1782
614,Mr. Lock,Letters,"Sancho, Ignatius",1,1782
615,Mr. Lawrence,Letters,"Sancho, Ignatius",1,1782
616,Mr. Lamb,Letters,"Sancho, Ignatius",1,1782
617,Rev. T. Lambert,Letters,"Sancho, Ignatius",1,1782
618,Mr. Land,Letters,"Sancho, Ignatius",1,1782
619,Mr. William Land,Letters,"Sancho, Ignatius",1,1782
620,Mr. Lavoine,Letters,"Sancho, Ignatius",1,1782
621,Mrs. Lawson,Letters,"Sancho, Ignatius",1,1782
622,Mrs. O-Lewis,Letters,"Sancho, Ignatius",1,1782
623,Mr. Longchamps,Letters,"Sancho, Ignatius",1,1782
624,Mr. Leave,Letters,"Sancho, Ignatius",1,1782
625,Mr. Lucas,Letters,"Sancho, Ignatius",1,1782
626,Mrs. Lindsay,Letters,"Sancho, Ignatius",1,1782
627,Mr. Lorimer,Letters,"Sancho, Ignatius",1,1782
628,Mr. Lock,Letters,"Sancho, Ignatius",1,1782
629,His Grace the Duke of Mountague,Letters,"Sancho, Ignatius",1,1782
630,Dowager Viscountess Midleton,Letters,"Sancho, Ignatius",1,1782
631,Viscount Midleton,Letters,"Sancho, Ignatius",1,1782
632,Viscountess Midleton,Letters,"Sancho, Ignatius",1,1782
633,Lord Robert Manners,Letters,"Sancho, Ignatius",1,1782
634,Lady Robert Manners,Letters,"Sancho, Ignatius",1,1782
635,Lord James Manners,Letters,"Sancho, Ignatius",1,1782
636,Lady Mountstuart,Letters,"Sancho, Ignatius",1,1782
637,Lady Melbourne,Letters,"Sancho, Ignatius",1,1782
638,Lady Mount Edgecumbe,Letters,"Sancho, Ignatius",1,1782
639,Lady Mary Mordaunt,Letters,"Sancho, Ignatius",1,1782
640,Lady Middleton,Letters,"Sancho, Ignatius",1,1782
641,Honourable Miss Monckton,Letters,"Sancho, Ignatius",1,1782
642,General Monckton,Letters,"Sancho, Ignatius",1,1782
643,"Sir John Moore, Bart.",Letters,"Sancho, Ignatius",1,1782
644,Lady Milner,Letters,"Sancho, Ignatius",1,1782
645,"William Middleton, Esq.",Letters,"Sancho, Ignatius",1,1782
646,"Henry Manningham, Esq.",Letters,"Sancho, Ignatius",1,1782
647,"Humphrey Morice, Esq.",Letters,"Sancho, Ignatius",1,1782
648,"William Moseley, Esq.",Letters,"Sancho, Ignatius",1,1782
649,Mrs. Moseley,Letters,"Sancho, Ignatius",1,1782
650,"George Maddison, Esq.",Letters,"Sancho, Ignatius",1,1782
651,"John Maddison, Esq.",Letters,"Sancho, Ignatius",1,1782
652,"Robert Marks, Esq.",Letters,"Sancho, Ignatius",1,1782
653,"William Metcalfe, Esq.",Letters,"Sancho, Ignatius",1,1782
654,"Philip Metcalfe, Esq.",Letters,"Sancho, Ignatius",1,1782
655,"Hutchinson Mure, Esq.",Letters,"Sancho, Ignatius",1,1782
656,"Thomas Manning, Esq.",Letters,"Sancho, Ignatius",1,1782
657,Rev. Mr. Manning,Letters,"Sancho, Ignatius",1,1782
658,"----Macleane, Esq.",Letters,"Sancho, Ignatius",1,1782
659,"John Mortlock, Esq.",Letters,"Sancho, Ignatius",1,1782
660,"John Merril, Esq.",Letters,"Sancho, Ignatius",1,1782
661,Mrs. Merrill,Letters,"Sancho, Ignatius",1,1782
662,"Arthur Murphy, Esq.",Letters,"Sancho, Ignatius",1,1782
663,Mrs. De Missy,Letters,"Sancho, Ignatius",1,1782
664,Mrs. Mettayer,Letters,"Sancho, Ignatius",1,1782
665,Mrs. Maud,Letters,"Sancho, Ignatius",1,1782
666,Mrs. Murrain,Letters,"Sancho, Ignatius",1,1782
667,"Crisp. Sherard Molineux, Esq.",Letters,"Sancho, Ignatius",1,1782
668,Mrs. Jane Matthews,Letters,"Sancho, Ignatius",1,1782
669,Mrs. Mileham,Letters,"Sancho, Ignatius",1,1782
670,Mrs. J. Mellish,Letters,"Sancho, Ignatius",1,1782
671,Mr. Moule,Letters,"Sancho, Ignatius",1,1782
672,Mr. Francis Moore ,Letters,"Sancho, Ignatius",1,1782
673,Mr. Thomas Moore,Letters,"Sancho, Ignatius",1,1782
674,Mr. Morris,Letters,"Sancho, Ignatius",1,1782
675,Mr. William Morgan,Letters,"Sancho, Ignatius",1,1782
676,Mr. William Matthews,Letters,"Sancho, Ignatius",1,1782
677,Mr. Mortimer,Letters,"Sancho, Ignatius",1,1782
678,Rev. Robert Mealyn,Letters,"Sancho, Ignatius",1,1782
679,Mr. Mathew,Letters,"Sancho, Ignatius",1,1782
680,Mrs. Mathew,Letters,"Sancho, Ignatius",1,1782
681,Miss Mathew,Letters,"Sancho, Ignatius",1,1782
682,Mr. Mills,Letters,"Sancho, Ignatius",1,1782
683,Rev. Dr. Bernard Mills,Letters,"Sancho, Ignatius",1,1782
684,Mr. Thomas Marston,Letters,"Sancho, Ignatius",1,1782
685,Miss Mortlock,Letters,"Sancho, Ignatius",1,1782
686,Miss Mary Mann,Letters,"Sancho, Ignatius",1,1782
687,Mrs. Magnolly,Letters,"Sancho, Ignatius",1,1782
688,Miss Mawhood,Letters,"Sancho, Ignatius",1,1782
689,Mr. Mackmurdo,Letters,"Sancho, Ignatius",1,1782
690,Rev. Thomas Mantell,Letters,"Sancho, Ignatius",1,1782
691,Mr. J. Mathews,Letters,"Sancho, Ignatius",1,1782
692,Mr. Morgan,Letters,"Sancho, Ignatius",1,1782
693,Mrs. Moyser,Letters,"Sancho, Ignatius",1,1782
694,Mr. Man,Letters,"Sancho, Ignatius",1,1782
695,Mr. Mason,Letters,"Sancho, Ignatius",1,1782
696,Mrs. Mackreth,Letters,"Sancho, Ignatius",1,1782
697,Mr. Mitford,Letters,"Sancho, Ignatius",1,1782
698,Mr. J. Mitchell,Letters,"Sancho, Ignatius",1,1782
699,Mr. J. Meheux,Letters,"Sancho, Ignatius",1,1782
700,Mr. Salmon May,Letters,"Sancho, Ignatius",1,1782
701,Mr. Mathias,Letters,"Sancho, Ignatius",1,1782
702,Mrs. Moy,Letters,"Sancho, Ignatius",1,1782
703,Mr. Martin,Letters,"Sancho, Ignatius",1,1782
704,Miss Mullens,Letters,"Sancho, Ignatius",1,1782
705,Mr. Markes,Letters,"Sancho, Ignatius",1,1782
706,Mr. William Macro,Letters,"Sancho, Ignatius",1,1782
707,"Mr. Moneypenny, sen.",Letters,"Sancho, Ignatius",1,1782
708,"Mr. Moneypenny, jun.",Letters,"Sancho, Ignatius",1,1782
709,Mr. Miller,Letters,"Sancho, Ignatius",1,1782
710,Mr. John Monk,Letters,"Sancho, Ignatius",1,1782
711,Mr. Barnard Middleton,Letters,"Sancho, Ignatius",1,1782
712,C. M----,Letters,"Sancho, Ignatius",1,1782
713,Mr. Miller,Letters,"Sancho, Ignatius",1,1782
714,His Grace the Duke of Northumberland,Letters,"Sancho, Ignatius",1,1782
715,Lord North,Letters,"Sancho, Ignatius",1,1782
716,Lady North,Letters,"Sancho, Ignatius",1,1782
717,Honourable Miss North,Letters,"Sancho, Ignatius",1,1782
718,Honourable Miss A. North,Letters,"Sancho, Ignatius",1,1782
719,Honourable Colonel North,Letters,"Sancho, Ignatius",1,1782
720,Honourable Captain North,Letters,"Sancho, Ignatius",1,1782
721,Honourable Mrs. North,Letters,"Sancho, Ignatius",1,1782
722,Honourable George Napier,Letters,"Sancho, Ignatius",1,1782
723,Lady Sarah Napier,Letters,"Sancho, Ignatius",1,1782
724,Lieutenant Napier,Letters,"Sancho, Ignatius",1,1782
725,Lady Elizabeth Noel,Letters,"Sancho, Ignatius",1,1782
726,Lady Mary Noel,Letters,"Sancho, Ignatius",1,1782
727,Lady Ann Noel,Letters,"Sancho, Ignatius",1,1782
728,"Joseph Newton, jun. Esq.",Letters,"Sancho, Ignatius",1,1782
729,"Rev. D. Nicol, D. L.",Letters,"Sancho, Ignatius",1,1782
730,"John Newling, Esq.",Letters,"Sancho, Ignatius",1,1782
731,"Henry Nichols, Esq.",Letters,"Sancho, Ignatius",1,1782
732,Rev. Mr. Napleton,Letters,"Sancho, Ignatius",1,1782
733,Rev. Mr. Nares,Letters,"Sancho, Ignatius",1,1782
734,Mr. R. Nicolls,Letters,"Sancho, Ignatius",1,1782
735,Mr. Neve,Letters,"Sancho, Ignatius",1,1782
736,Mrs. Nutt,Letters,"Sancho, Ignatius",1,1782
737,Miss Lucy Napleton,Letters,"Sancho, Ignatius",1,1782
738,"William Norford, M. D.",Letters,"Sancho, Ignatius",1,1782
739,Mr. Nathaniel Newbold,Letters,"Sancho, Ignatius",1,1782
740,Mr. Mark Noble,Letters,"Sancho, Ignatius",1,1782
741,Mr. Richard Noble,Letters,"Sancho, Ignatius",1,1782
742,Mrs. Nash,Letters,"Sancho, Ignatius",1,1782
743,Mrs. Negus,Letters,"Sancho, Ignatius",1,1782
744,Mrs. Nichols,Letters,"Sancho, Ignatius",1,1782
745,Master R. Nicholls,Letters,"Sancho, Ignatius",1,1782
746,Earl of Upper Ossory,Letters,"Sancho, Ignatius",1,1782
747,Honourable Mrs. Onslow,Letters,"Sancho, Ignatius",1,1782
748,"William Otley, Esq.",Letters,"Sancho, Ignatius",1,1782
749,"Drury Otley, Esq.",Letters,"Sancho, Ignatius",1,1782
750,Miss Otley,Letters,"Sancho, Ignatius",1,1782
751,Miss M. Otley,Letters,"Sancho, Ignatius",1,1782
752,Miss S. Otley,Letters,"Sancho, Ignatius",1,1782
753,"James Oakes, Esq.",Letters,"Sancho, Ignatius",1,1782
754,"Craven Ord, Esq.",Letters,"Sancho, Ignatius",1,1782
755,"Walter Orbell, Esq.",Letters,"Sancho, Ignatius",1,1782
756,Mr. Ogilvie,Letters,"Sancho, Ignatius",1,1782
757,Mr. Owen,Letters,"Sancho, Ignatius",1,1782
758,Mr. M. Otley,Letters,"Sancho, Ignatius",1,1782
759,Mr. Ostler,Letters,"Sancho, Ignatius",1,1782
760,Rev. Mr. Orme,Letters,"Sancho, Ignatius",1,1782
761,Mr. Richard Otley,Letters,"Sancho, Ignatius",1,1782
762,Mr. Henry Otley,Letters,"Sancho, Ignatius",1,1782
763,Miss Otley,Letters,"Sancho, Ignatius",1,1782
764,Mr. Osborn,Letters,"Sancho, Ignatius",1,1782
765,Her Grace the Dowager Duchess of Portland,Letters,"Sancho, Ignatius",1,1782
766,Earl Percy,Letters,"Sancho, Ignatius",1,1782
767,Countess of Pembroke,Letters,"Sancho, Ignatius",1,1782
768,Dowager Countess of Powys,Letters,"Sancho, Ignatius",1,1782
769,Lord Pelham,Letters,"Sancho, Ignatius",1,1782
770,Lady Pelham,Letters,"Sancho, Ignatius",1,1782
771,Honourable Miss Pelham,Letters,"Sancho, Ignatius",1,1782
772,Honourable Miss M. Pelham,Letters,"Sancho, Ignatius",1,1782
773,Honourable Mr. Pomeroy,Letters,"Sancho, Ignatius",1,1782
774,"Sir Ralph Payne, Bart.",Letters,"Sancho, Ignatius",1,1782
775,Lady Payne,Letters,"Sancho, Ignatius",1,1782
776,Admiral Pigot,Letters,"Sancho, Ignatius",1,1782
777,Mrs. Pigot,Letters,"Sancho, Ignatius",1,1782
778,"Charles Poyntz, D. D.",Letters,"Sancho, Ignatius",1,1782
779,Miss Powys,Letters,"Sancho, Ignatius",1,1782
780,"Charles Purvis, Esq.",Letters,"Sancho, Ignatius",1,1782
781,Mrs. Purvis,Letters,"Sancho, Ignatius",1,1782
782,"William Purvis, Esq.",Letters,"Sancho, Ignatius",1,1782
783,Mrs. Purvis,Letters,"Sancho, Ignatius",1,1782
784,"R. Purvis, Esq.",Letters,"Sancho, Ignatius",1,1782
785,"Anthony Parkins, Esq.",Letters,"Sancho, Ignatius",1,1782
786,"Thomas Panton, jun. Esq.",Letters,"Sancho, Ignatius",1,1782
787,"William Pollard, Esq.",Letters,"Sancho, Ignatius",1,1782
788,"John Pardoe, Esq.",Letters,"Sancho, Ignatius",1,1782
789,"John Peachy, Esq.",Letters,"Sancho, Ignatius",1,1782
790,"John Plampin, Esq.",Letters,"Sancho, Ignatius",1,1782
791,"---- Pratt, Esq.",Letters,"Sancho, Ignatius",1,1782
792,Rev. John Weller Poley,Letters,"Sancho, Ignatius",1,1782
793,Mr. Thomas Pitt,Letters,"Sancho, Ignatius",1,1782
794,"Thomas Pomeroy, Esq.",Letters,"Sancho, Ignatius",1,1782
795,"John Phillips, Esq.",Letters,"Sancho, Ignatius",1,1782
796,"Benjamin Pidcock, Esq.",Letters,"Sancho, Ignatius",1,1782
797,"Richard Pearce, Esq.",Letters,"Sancho, Ignatius",1,1782
798,"Francis Plumer, Esq.",Letters,"Sancho, Ignatius",1,1782
799,"John Purchas, Esq.",Letters,"Sancho, Ignatius",1,1782
800,"Peregrine Phillips, sen. Esq.",Letters,"Sancho, Ignatius",1,1782
801,"Peregrine Phillips, jun. Esq.",Letters,"Sancho, Ignatius",1,1782
802,Miss Anna Maria Phillips,Letters,"Sancho, Ignatius",1,1782
803,Mr. J. Paine,Letters,"Sancho, Ignatius",1,1782
804,"Rev. S. Parker, B. A.",Letters,"Sancho, Ignatius",1,1782
805,Mr. Payne,Letters,"Sancho, Ignatius",1,1782
806,Mr. Powys,Letters,"Sancho, Ignatius",1,1782
807,Mr. C. Pigot,Letters,"Sancho, Ignatius",1,1782
808,Mr. Pate,Letters,"Sancho, Ignatius",1,1782
809,Rev. H. Punchard,Letters,"Sancho, Ignatius",1,1782
810,Mr. Pugh,Letters,"Sancho, Ignatius",1,1782
811,Mrs. Pomphrey,Letters,"Sancho, Ignatius",1,1782
812,Mr. B. Page,Letters,"Sancho, Ignatius",1,1782
813,Miss Price,Letters,"Sancho, Ignatius",1,1782
814,Mrs. Pickard,Letters,"Sancho, Ignatius",1,1782
815,Mrs. Prior,Letters,"Sancho, Ignatius",1,1782
816,Mrs. Pouilly,Letters,"Sancho, Ignatius",1,1782
817,Mr. Pillener,Letters,"Sancho, Ignatius",1,1782
818,Mr. J. Pillener,Letters,"Sancho, Ignatius",1,1782
819,Mr. Thomas Pillener,Letters,"Sancho, Ignatius",1,1782
820,Mr. Phillips,Letters,"Sancho, Ignatius",1,1782
821,Rev. Robert Phillips,Letters,"Sancho, Ignatius",1,1782
822,Miss Phillips,Letters,"Sancho, Ignatius",1,1782
