no.,listed as,book,author,edition,year
92,Dr. Bagg,Letters,"Sancho, Ignatius",1,1782
93,Mrs. J. Bowdler,Letters,"Sancho, Ignatius",1,1782
94,Mrs. Berens,Letters,"Sancho, Ignatius",1,1782
95,Mrs. Baron,Letters,"Sancho, Ignatius",1,1782
96,Rev. Beeriah Brookes,Letters,"Sancho, Ignatius",1,1782
97,Miss Browne,Letters,"Sancho, Ignatius",1,1782
98,Rev. Charles Browne,Letters,"Sancho, Ignatius",1,1782
99,Rev. Mr. Barnwell,Letters,"Sancho, Ignatius",1,1782
100,Mrs. Borton,Letters,"Sancho, Ignatius",1,1782
101,Miss Blizard,Letters,"Sancho, Ignatius",1,1782
102,Mrs. Boone,Letters,"Sancho, Ignatius",1,1782
103,Capt. Belford,Letters,"Sancho, Ignatius",1,1782
104,Miss Buller,Letters,"Sancho, Ignatius",1,1782
105,Mr. Bardwell,Letters,"Sancho, Ignatius",1,1782
106,Dr. Bowdler,Letters,"Sancho, Ignatius",1,1782
107,Mrs. Bouchery,Letters,"Sancho, Ignatius",1,1782
108,Mr. Barnardiston,Letters,"Sancho, Ignatius",1,1782
109,Mrs. Bankes,Letters,"Sancho, Ignatius",1,1782
110,Mr. Bryan,Letters,"Sancho, Ignatius",1,1782
111,Mrs. Banks,Letters,"Sancho, Ignatius",1,1782
112,Mrs. Eleanor Bevan,Letters,"Sancho, Ignatius",1,1782
113,Mr. Ballaintyne,Letters,"Sancho, Ignatius",1,1782
114,Mrs. E. Brewster,Letters,"Sancho, Ignatius",1,1782
115,Mr. Brown,Letters,"Sancho, Ignatius",1,1782
116,Mr. Basilico,Letters,"Sancho, Ignatius",1,1782
117,Mr. Byfield,Letters,"Sancho, Ignatius",1,1782
118,Master Burton,Letters,"Sancho, Ignatius",1,1782
119,Mr. T. M. Boralet,Letters,"Sancho, Ignatius",1,1782
120,Major Burton,Letters,"Sancho, Ignatius",1,1782
121,Mr. Berry,Letters,"Sancho, Ignatius",1,1782
122,Mrs. Barne,Letters,"Sancho, Ignatius",1,1782
123,Lieutenant Blunt,Letters,"Sancho, Ignatius",1,1782
124,Mr. James Barow,Letters,"Sancho, Ignatius",1,1782
125,Mr. Samuel Bradford,Letters,"Sancho, Ignatius",1,1782
126,Mr. Peter Baron,Letters,"Sancho, Ignatius",1,1782
127,Mr. Brown,Letters,"Sancho, Ignatius",1,1782
128,Mrs. Brown,Letters,"Sancho, Ignatius",1,1782
129,Mr. Thomas Buck,Letters,"Sancho, Ignatius",1,1782
130,Mr. Robert Bryant,Letters,"Sancho, Ignatius",1,1782
131,Mr. R. Bingley,Letters,"Sancho, Ignatius",1,1782
132,Mr. James Booth,Letters,"Sancho, Ignatius",1,1782
133,Mr. Bontflower,Letters,"Sancho, Ignatius",1,1782
134,Mr. Bunce,Letters,"Sancho, Ignatius",1,1782
135,Mr. Brewerton,Letters,"Sancho, Ignatius",1,1782
136,Mr. Bland,Letters,"Sancho, Ignatius",1,1782
137,Rev. George Booth,Letters,"Sancho, Ignatius",1,1782
138,Mr. Henry Browne,Letters,"Sancho, Ignatius",1,1782
139,Miss Buckle,Letters,"Sancho, Ignatius",1,1782
140,Miss Borrett,Letters,"Sancho, Ignatius",1,1782
141,Mrs. Barwick,Letters,"Sancho, Ignatius",1,1782
142,Rev. J. Brundish,Letters,"Sancho, Ignatius",1,1782
143,Mrs. Bentley,Letters,"Sancho, Ignatius",1,1782
144,Mrs. Ballentine,Letters,"Sancho, Ignatius",1,1782
145,Mr. Bellingham,Letters,"Sancho, Ignatius",1,1782
146,Mrs. Bellingham,Letters,"Sancho, Ignatius",1,1782
147,Mr. Brock,Letters,"Sancho, Ignatius",1,1782
148,Mr. Bradford,Letters,"Sancho, Ignatius",1,1782
149,Mr. Bolton,Letters,"Sancho, Ignatius",1,1782
150,Mrs. Susannah Baskett,Letters,"Sancho, Ignatius",1,1782
151,Mr. Bray,Letters,"Sancho, Ignatius",1,1782
152,Mr. Beaumont,Letters,"Sancho, Ignatius",1,1782
153,Mr. Burton,Letters,"Sancho, Ignatius",1,1782
154,Mr. Byrne,Letters,"Sancho, Ignatius",1,1782
155,Mrs. Eleanor Bailey,Letters,"Sancho, Ignatius",1,1782
156,Mr. C. Baker,Letters,"Sancho, Ignatius",1,1782
157,Mr. Bird,Letters,"Sancho, Ignatius",1,1782
158,Mr. Best,Letters,"Sancho, Ignatius",1,1782
159,Mr. Betts,Letters,"Sancho, Ignatius",1,1782
160,E-- B--,Letters,"Sancho, Ignatius",1,1782
161,Mr. Barret,Letters,"Sancho, Ignatius",1,1782
162,Her Grace the Dowager Duchess of Chandos,Letters,"Sancho, Ignatius",1,1782
163,Earl of Carlisle,Letters,"Sancho, Ignatius",1,1782
164,Countess of Carlisle,Letters,"Sancho, Ignatius",1,1782
165,Earl of Chatham,Letters,"Sancho, Ignatius",1,1782
166,Earl of Corke,Letters,"Sancho, Ignatius",1,1782
167,Earl of Clermont,Letters,"Sancho, Ignatius",1,1782
