entry_id,source_entry_id,person_id,normalization input,normalized_name,name_order,name_type,title_key,parsed_title,parsed_first,parsed_last,parsed_postnominals,parsed_occupation,parsed_affiliation,parsed_location,parsed_notes,listed as,book,author,edition,year
Cugoano-Thoughts-1-0033,Cugoano-Thoughts-1-0033,Cugoano-Thoughts-1-0033,Mr. Dumanudue,Mr. Dumanudue,first-last,personal,,Mr.,,Dumanudue,,,,,,Mr. Dumanudue,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0034,Cugoano-Thoughts-1-0034,Cugoano-Thoughts-1-0034,Mr. Davison,Mr. Davison,first-last,personal,,Mr.,,Davison,,,,,,Mr. Davison,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0035,Cugoano-Thoughts-1-0035,Cugoano-Thoughts-1-0035,Mr. Douglass,Mr. Douglass,first-last,personal,,Mr.,,Douglass,,,,,,Mr. Douglass,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0036,Cugoano-Thoughts-1-0036,Cugoano-Thoughts-1-0036,Mr. Daves,Mr. Daves,first-last,personal,,Mr.,,Daves,,,,,,Mr. Daves,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0037,Cugoano-Thoughts-1-0037,Cugoano-Thoughts-1-0037,Mr. Davise,Mr. Davise,first-last,personal,,Mr.,,Davise,,,,,,Mr. Davise,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0038,Cugoano-Thoughts-1-0038,Cugoano-Thoughts-1-0038,Mr. Durnford,Mr. Durnford,first-last,personal,,Mr.,,Durnford,,,,,,Mr. Durnford,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0039,Cugoano-Thoughts-1-0039,Cugoano-Thoughts-1-0039,Mr. Dent,Mr. Dent,first-last,personal,,Mr.,,Dent,,,,,,Mr. Dent,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0040,Cugoano-Thoughts-1-0040,Cugoano-Thoughts-1-0040,Mr. Daves,Mr. Daves,first-last,personal,,Mr.,,Daves,,,,,,Mr. Daves,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0041,Cugoano-Thoughts-1-0041,Cugoano-Thoughts-1-0041,Mr. Dodsly,Mr. Dodsly,first-last,personal,,Mr.,,Dodsly,,,,,,Mr. Dodsly,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0042,Cugoano-Thoughts-1-0042,Cugoano-Thoughts-1-0042,Mr. Ellis,Mr. Ellis,first-last,personal,,Mr.,,Ellis,,,,,,Mr. Ellis,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0043,Cugoano-Thoughts-1-0043,Cugoano-Thoughts-1-0043,Mr. Elliott,Mr. Elliott,first-last,personal,,Mr.,,Elliott,,,,,,Mr. Elliott,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0044,Cugoano-Thoughts-1-0044,Cugoano-Thoughts-1-0044,Mr. Enoch,Mr. Enoch,first-last,personal,,Mr.,,Enoch,,,,,,Mr. Enoch,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0045,Cugoano-Thoughts-1-0045,Cugoano-Thoughts-1-0045,Mr. Ebdon,Mr. Ebdon,first-last,personal,,Mr.,,Ebdon,,,,,,Mr. Ebdon,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0046,Cugoano-Thoughts-1-0046,Cugoano-Thoughts-1-0046,Mr. Emery,Mr. Emery,first-last,personal,,Mr.,,Emery,,,,,,Mr. Emery,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0047,Cugoano-Thoughts-1-0047,Cugoano-Thoughts-1-0047,Right Hon. Viscount Fielding,Right Hon. Visc. of Fielding,first-last,titled,visc. of fielding,Right Hon. Visc. of Fielding,,,,,,,,Right Hon. Viscount Fielding,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0048,Cugoano-Thoughts-1-0048,Cugoano-Thoughts-1-0048,Mr. Fox,Mr. Fox,first-last,personal,,Mr.,,Fox,,,,,,Mr. Fox,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0049,Cugoano-Thoughts-1-0049,Cugoano-Thoughts-1-0049,Mr. Followes,Mr. Followes,first-last,personal,,Mr.,,Followes,,,,,,Mr. Followes,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0050,Cugoano-Thoughts-1-0050,Cugoano-Thoughts-1-0050,Mr. Frall,Mr. Frall,first-last,personal,,Mr.,,Frall,,,,,,Mr. Frall,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0051,Cugoano-Thoughts-1-0051,Cugoano-Thoughts-1-0051,Mr. Ferral,Mr. Ferral,first-last,personal,,Mr.,,Ferral,,,,,,Mr. Ferral,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0052,Cugoano-Thoughts-1-0052,Cugoano-Thoughts-1-0052,Mr. Fleece,Mr. Fleece,first-last,personal,,Mr.,,Fleece,,,,,,Mr. Fleece,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0053,Cugoano-Thoughts-1-0053,Cugoano-Thoughts-1-0053,Mr. Flanders,Mr. Flanders,first-last,personal,,Mr.,,Flanders,,,,,,Mr. Flanders,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0054,Cugoano-Thoughts-1-0054,Cugoano-Thoughts-1-0054,Mr. Frances,Mr. Frances,first-last,personal,,Mr.,,Frances,,,,,,Mr. Frances,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0055,Cugoano-Thoughts-1-0055,Cugoano-Thoughts-1-0055,Mrs. Fletcher,Mrs. Fletcher,first-last,personal,,Mrs.,,Fletcher,,,,,,Mrs. Fletcher,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0056,Cugoano-Thoughts-1-0056,Cugoano-Thoughts-1-0056,Mr. George Fancy,Mr. George Fancy,first-last,personal,,Mr.,George,Fancy,,,,,,Mr. George Fancy,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0057,Cugoano-Thoughts-1-0057,Cugoano-Thoughts-1-0057,Mr. Goodram,Mr. Goodram,first-last,personal,,Mr.,,Goodram,,,,,,Mr. Goodram,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0058,Cugoano-Thoughts-1-0058,Cugoano-Thoughts-1-0058,Mr. Gray,Mr. Gray,first-last,personal,,Mr.,,Gray,,,,,,Mr. Gray,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0059,Cugoano-Thoughts-1-0059,Cugoano-Thoughts-1-0059,Mr. Gray,Mr. Gray,first-last,personal,,Mr.,,Gray,,,,,,Mr. Gray,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0060,Cugoano-Thoughts-1-0060,Cugoano-Thoughts-1-0060,Dr. Gartshore,Dr. Gartshore,first-last,personal,,Dr.,,Gartshore,,,,,,Dr. Gartshore,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0061,Cugoano-Thoughts-1-0061,Cugoano-Thoughts-1-0061,Mr. Gill,Mr. Gill,first-last,personal,,Mr.,,Gill,,,,,,Mr. Gill,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0062,Cugoano-Thoughts-1-0062,Cugoano-Thoughts-1-0062,Mr. Green,Mr. Green,first-last,personal,,Mr.,,Green,,,,,,Mr. Green,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0063,Cugoano-Thoughts-1-0063,Cugoano-Thoughts-1-0063,Mr. Glover,Mr. Glover,first-last,personal,,Mr.,,Glover,,,,,,Mr. Glover,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0064,Cugoano-Thoughts-1-0064,Cugoano-Thoughts-1-0064,Mr. Graver,Mr. Graver,first-last,personal,,Mr.,,Graver,,,,,,Mr. Graver,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0065,Cugoano-Thoughts-1-0065,Cugoano-Thoughts-1-0065,Mr. Gibbs,Mr. Gibbs,first-last,personal,,Mr.,,Gibbs,,,,,,Mr. Gibbs,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0066,Cugoano-Thoughts-1-0066,Cugoano-Thoughts-1-0066,Mr. Gibson,Mr. Gibson,first-last,personal,,Mr.,,Gibson,,,,,,Mr. Gibson,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0067,Cugoano-Thoughts-1-0067,Cugoano-Thoughts-1-0067,Mr. Glade,Mr. Glade,first-last,personal,,Mr.,,Glade,,,,,,Mr. Glade,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0068,Cugoano-Thoughts-1-0068,Cugoano-Thoughts-1-0068,Earl Harrington ,Earl of Harrington,first-last,titled,earl of harrington,Earl of Harrington,,,,,,,,Earl Harrington ,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0069,Cugoano-Thoughts-1-0069,Cugoano-Thoughts-1-0069,Mr. Hoyle,Mr. Hoyle,first-last,personal,,Mr.,,Hoyle,,,,,,Mr. Hoyle,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0070,Cugoano-Thoughts-1-0070,Cugoano-Thoughts-1-0070,Mr. Harris,Mr. Harris,first-last,personal,,Mr.,,Harris,,,,,,Mr. Harris,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0071,Cugoano-Thoughts-1-0071,Cugoano-Thoughts-1-0071,Mr. Higgings,Mr. Higgings,first-last,personal,,Mr.,,Higgings,,,,,,Mr. Higgings,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0072,Cugoano-Thoughts-1-0072,Cugoano-Thoughts-1-0072,Mr. Haynes,Mr. Haynes,first-last,personal,,Mr.,,Haynes,,,,,,Mr. Haynes,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
Cugoano-Thoughts-1-0073,Cugoano-Thoughts-1-0073,Cugoano-Thoughts-1-0073,Mr. Hazzard,Mr. Hazzard,first-last,personal,,Mr.,,Hazzard,,,,,,Mr. Hazzard,Thoughts and Sentiments,"Cugoano, Ottobah",1,1791
