group_id,match,entry_id,person_id,normalized_name,listed as,parsed_title,parsed_first,parsed_last,parsed_postnominals,parsed_occupation,parsed_affiliation,parsed_location,book,edition,year,match_rule,match_tier
cm_1106,,Sancho-Letters-1-0862,Sancho-Letters-1-0862,Rev. Henry Robinson,Rev. Henry Robinson,Rev.,Henry,Robinson,,,,,Letters,1,1782,exact_last+missing_first+loc,candidate_cross
cm_1106,,Sancho-Letters-1-0868,Sancho-Letters-1-0868,Rev. Christopher Robinson,Rev. Christopher Robinson,Rev.,Christopher,Robinson,,,,,Letters,1,1782,exact_last+missing_first+loc,candidate_cross
cm_1107,,Equiano-Interesting-1-0247,Equiano-Interesting-1-0247,George Rose Esq. M. P.,"George Rose, Esq. M.P.",,George,Rose,,,,Esq. M.P,Interesting Narrative,1,1789,exact_last+exact_first,anchor_cross
cm_1107,,Equiano-Interesting-5-0154,Equiano-Interesting-5-0154,George Rose Esq. M. P.,"George Rose, Esq; M. P.",,George,Rose,Esq M. P,,,,Interesting Narrative,5,1792,exact_last+exact_first,anchor_cross
cm_1107,,Sancho-Letters-1-0864,Sancho-Letters-1-0864,George Rose Esq.,"George Rose, Esq.",,George,Rose,Esq,,,,Letters,1,1782,exact_last+exact_first,candidate_cross
cm_1108,,Equiano-Interesting-1-0267,Equiano-Interesting-1-0267,John Smith Esq.,"John Smith, Esq.",,John,Smith,Esq,,,,Interesting Narrative,1,1789,exact_last+exact_first+post,anchor_cross
cm_1108,,Equiano-Interesting-2-0335,Equiano-Interesting-2-0335,John Smith Esq.,"John Smith, Esq.",,John,Smith,Esq,,,,Interesting Narrative,2,1789,exact_last+exact_first+post,anchor_cross
cm_1108,,Equiano-Interesting-3-0346,Equiano-Interesting-3-0346,John Smith Esq.,"John Smith, Esq.",,John,Smith,Esq,,,,Interesting Narrative,3,1790,exact_last+exact_first+post,anchor_cross
cm_1108,,Equiano-Interesting-4-0336,Equiano-Interesting-4-0336,John Smith Esq.,"John Smith, Esq.",,John,Smith,Esq,,,,Interesting Narrative,4,1791,exact_last+exact_first+post,anchor_cross
cm_1108,,Equiano-Interesting-5-0169,Equiano-Interesting-5-0169,John Smith Esq.,"John Smith, Esq;",,John,Smith,Esq,,,,Interesting Narrative,5,1792,exact_last+exact_first+post,anchor_cross
cm_1108,,Equiano-Interesting-6-0183,Equiano-Interesting-6-0183,John Smith Esq.,"John Smith, Esq.",,John,Smith,Esq,,,,Interesting Narrative,6,1793,exact_last+exact_first+post,anchor_cross
cm_1108,,Equiano-Interesting-7-0187,Equiano-Interesting-7-0187,John Smith Esq.,"John Smith, Esq.",,John,Smith,Esq,,,,Interesting Narrative,7,1793,exact_last+exact_first+post,anchor_cross
cm_1108,,Equiano-Interesting-8-0190,Equiano-Interesting-8-0190,John Smith Esq.,"John Smith, Esq.",,John,Smith,Esq,,,,Interesting Narrative,8,1794,exact_last+exact_first+post,anchor_cross
cm_1108,,Equiano-Interesting-9-0190,Equiano-Interesting-9-0190,John Smith Esq.,"John Smith, Esq.",,John,Smith,Esq,,,,Interesting Narrative,9,1794,exact_last+exact_first+post,anchor_cross
cm_1108,,Sancho-Letters-1-0929,Sancho-Letters-1-0929,John Smith Esq.,"John Smith, Esq.",,John,Smith,Esq,,,,Letters,1,1782,exact_last+exact_first+post,candidate_cross
cm_1109,,Equiano-Interesting-1-0279,Equiano-Interesting-1-0279,Rev. John Till,Reverend John Till,Rev.,John,Till,,,,,Interesting Narrative,1,1789,exact_last+exact_first,anchor_cross
cm_1109,,Equiano-Interesting-2-0354,Equiano-Interesting-2-0354,Rev. Mr. John Till,The Reverend Mr. John Till,Rev. Mr.,John,Till,,,,,Interesting Narrative,2,1789,exact_last+exact_first,anchor_cross
cm_1109,,Equiano-Interesting-3-0367,Equiano-Interesting-3-0367,Rev. Mr. John Till,The Reverend Mr. John Till,Rev. Mr.,John,Till,,,,,Interesting Narrative,3,1790,exact_last+exact_first,anchor_cross
cm_1109,,Equiano-Interesting-4-0343,Equiano-Interesting-4-0343,Rev. Mr. John Till,The Reverend Mr. John Till,Rev. Mr.,John,Till,,,,,Interesting Narrative,4,1791,exact_last+exact_first,anchor_cross
cm_1109,,Equiano-Interesting-5-0176,Equiano-Interesting-5-0176,Rev. Mr. John Till,Rev. Mr John Till,Rev. Mr.,John,Till,,,,,Interesting Narrative,5,1792,exact_last+exact_first,anchor_cross
cm_1109,,Equiano-Interesting-6-0188,Equiano-Interesting-6-0188,Rev. Mr. John Till,Rev. Mr. John Till,Rev. Mr.,John,Till,,,,,Interesting Narrative,6,1793,exact_last+exact_first,anchor_cross
cm_1109,,Equiano-Interesting-7-0192,Equiano-Interesting-7-0192,Rev. Mr. John Till,Rev. Mr. John Till,Rev. Mr.,John,Till,,,,,Interesting Narrative,7,1793,exact_last+exact_first,anchor_cross
cm_1109,,Equiano-Interesting-8-0197,Equiano-Interesting-8-0197,Rev. Mr. John Till,Rev. Mr. John Till,Rev. Mr.,John,Till,,,,,Interesting Narrative,8,1794,exact_last+exact_first,anchor_cross
cm_1109,,Equiano-Interesting-9-0197,Equiano-Interesting-9-0197,Rev. Mr. John Till,Rev. Mr. John Till,Rev. Mr.,John,Till,,,,,Interesting Narrative,9,1794,exact_last+exact_first,anchor_cross
cm_1109,,Sancho-Letters-1-1028,Sancho-Letters-1-1028,Rev. Mr. Till,Rev. Mr. Till,Rev. Mr.,,Till,,,,,Letters,1,1782,exact_last+exact_first,candidate_cross
cm_1110,,Equiano-Interesting-4-0354,Equiano-Interesting-4-0354,Thomas Walker Esq. Manchester,"Thomwas Walker, Esq; Manchester, 6 copies",,Thomas,Walker,Esq,,,Manchester,Interesting Narrative,4,1791,exact_last+exact_first+loc+post,anchor_cross
cm_1110,,Equiano-Interesting-5-0184,Equiano-Interesting-5-0184,Thomas Walker Esq. Manchester,"Thomas Walker, Esq; Manchester",,Thomas,Walker,Esq,,,Manchester,Interesting Narrative,5,1792,exact_last+exact_first+loc+post,anchor_cross
cm_1110,,Equiano-Interesting-7-0204,Equiano-Interesting-7-0204,Thomas Walker Esq. of Manchester,"Thomas Walker, Esq. of Manchester",,Thomas,Walker,,,,Manchester,Interesting Narrative,7,1793,exact_last+exact_first+loc+post,anchor_cross
cm_1110,,Equiano-Interesting-8-0210,Equiano-Interesting-8-0210,Thomas Walker Esq. of Manchester,"Thomas Walker, Esq. of Manchester",,Thomas,Walker,,,,Manchester,Interesting Narrative,8,1794,exact_last+exact_first+loc+post,anchor_cross
cm_1110,,Equiano-Interesting-9-0210,Equiano-Interesting-9-0210,Thomas Walker Esq. of Manchester,"Thomas Walker, Esq. of Manchester",,Thomas,Walker,,,,Manchester,Interesting Narrative,9,1794,exact_last+exact_first+loc+post,anchor_cross
cm_1110,,Sancho-Letters-1-1080,Sancho-Letters-1-1080,T. Walker Esq.,"T. Walker, Esq.",,T.,Walker,Esq,,,,Letters,1,1782,exact_last+exact_first+loc+post,candidate_cross
cm_1111,,Equiano-Interesting-4-0208,Equiano-Interesting-4-0208,---- Buxton Esq. of Leicester,"---- Buxton, Esq. of Leicester, 6 copies",,----,Buxton,,,,Leicester,Interesting Narrative,4,1791,exact_last+exact_first+loc,anchor_cross
cm_1111,,Equiano-Interesting-5-0044,Equiano-Interesting-5-0044,---- Buxton Esq. of Leicester,"---- Buxton, Esq; of Leicester",,----,Buxton,Esq,,,Leicester,Interesting Narrative,5,1792,exact_last+exact_first+loc,anchor_cross
cm_1111,,Equiano-Interesting-6-0045,Equiano-Interesting-6-0045,---- Buxton Esq. of Leicester,"---- Buxton, Esq. of Leicester",,----,Buxton,,,,Leicester,Interesting Narrative,6,1793,exact_last+exact_first+loc,anchor_cross
cm_1111,,Equiano-Interesting-7-0044,Equiano-Interesting-7-0044,---- Buxton Esq. of Leicester,"----Buxton, Esq. of Leicester",,----,Buxton,,,,Leicester,Interesting Narrative,7,1793,exact_last+exact_first+loc,anchor_cross
cm_1111,,Equiano-Interesting-8-0045,Equiano-Interesting-8-0045,---- Buxton Esq. of Leicester,"----Buxton, Esq. of Leicester",,----,Buxton,,,,Leicester,Interesting Narrative,8,1794,exact_last+exact_first+loc,anchor_cross
cm_1111,,Equiano-Interesting-9-0045,Equiano-Interesting-9-0045,---- Buxton Esq. of Leicester,"----Buxton, Esq. of Leicester",,----,Buxton,,,,Leicester,Interesting Narrative,9,1794,exact_last+exact_first+loc,anchor_cross
cm_1111,,Sancho-Letters-1-0597,Sancho-Letters-1-0597,---- Luton Esq.,"---- Luton, Esq.",,----,Luton,Esq,,,,Letters,1,1782,exact_last+exact_first+loc,candidate_cross
cm_1112,,Sancho-Letters-1-0804,Sancho-Letters-1-0804,Rev. S. Parker B. A.,"Rev. S. Parker, B. A.",Rev.,S.,Parker,B. A,,,,Letters,1,1782,fuzzy_last_1+missing_first,candidate_cross
cm_1112,,Equiano-Interesting-6-0227,Equiano-Interesting-6-0227,Rev. Mr. Barker,The Rev. Mr. Barker,Rev. Mr.,,Barker,,,,,Interesting Narrative,6,1793,fuzzy_last_1+missing_first,anchor_cross
cm_1113,,Equiano-Interesting-1-0082,Equiano-Interesting-1-0082,John Delamain Esq.,"John Delamain, Esq.",,John,Delamain,Esq,,,,Interesting Narrative,1,1789,exact_last+exact_first+post,anchor_cross
cm_1113,,Equiano-Interesting-2-0102,Equiano-Interesting-2-0102,John Delamain Esq.,"John Delamain, Esq.",,John,Delamain,Esq,,,,Interesting Narrative,2,1789,exact_last+exact_first+post,anchor_cross
cm_1113,,Equiano-Interesting-3-0107,Equiano-Interesting-3-0107,John Delamain Esq.,"John Delamain, Esq.",,John,Delamain,Esq,,,,Interesting Narrative,3,1790,exact_last+exact_first+post,anchor_cross
cm_1113,,Equiano-Interesting-4-0226,Equiano-Interesting-4-0226,John Delamain Esq.,"John Delamain, Esq.",,John,Delamain,Esq,,,,Interesting Narrative,4,1791,exact_last+exact_first+post,anchor_cross
